qsssmfqirrnpinrr 	qsssufpirrnpmnrr
iptgkmlskslgojgl 	iptgsmmskslgsjgl
ktrlqskfjuimooqn 	ktrlisjfjuimsoqn
qmithrolrmouqnrj 	qmitprnlrmouunrj
imiotlihqrskigku 	imiollhhqrskmgku
hjlouogjrtjmiifh 	hjlomofjrtjmmifh
thgnfrrmllmukshn 	thgnnrsmllmugshn
kmfjlljmqmmsioui 	kmfjtlkmqmmsmoui
njqfnffqhfusimkl 	njqfffgqhfusmmkl
kumihkjfsjugptri 	kumipkkfsjugttri
smlthuhiqhkpifgl 	smltpuiiqhkpmfgl
flpifkstiothjpnl 	flpinkrtiothfpnl
nhmmijpfhkfgughh 	nhmmqjqfhkfgqghh
tlqrsiousslknpju 	tlqrkinusslkrpju
jugfkpsgmfsrmuoj 	jugfsprgmfsriuoj
hrgihjgpfophskjf 	hrgipjfpfophokjf
stptuhtrjqhpifip 	stptmhurjqhpmfip
ojjkmntogugoukhn 	ojjkunuogugoqkhn
igkgotkmqflrnuts 	igkggtjmqflrruts
isismlufklltgrio 	isisultfklltkrio
fihqokpfhnnrmrnm 	fihqgkqfhnnrirnm
jhmuojpokjgkiijf 	jhmugjqokjgkmijf
psgjmoifjmqogrgh 	psgjuohfjmqokrgh
mhjomgrltomnffks 	mhjougsltomnjfks
ptqhkonrqmtmnjjl 	ptqhsoorqmtmrjjl
qromhikrtipmtouj 	qrompijrtipmpouj
usimrgssounrnkff 	usimjgrsounrrkff
jfroogumtlfflolu 	jfroggtmtlffholu
mnthmqjomlfrqrnh 	mnthuqkomlfrurnh
qpumqlkljklgpfmp 	qpumiljljklgtfmp
fggkgigtskhoqqqh 	fggkoiftskhouqqh
rsqjsoihpqppfimt 	rsqjkohhpqppjimt
mhokqfgulhsnkhgf 	mhokiffulhsnghgf
mtkstkqkutkituuk 	mtkslkpkutkipuuk
hhingprhtkrjkjjg 	hhinopshtkrjgjjg
uqtkoghlsjtiquqo 	uqtkggilsjtiuuqo
kqkhlgqkrluiglmn 	kqkhtgpkrluiklmn
rqsulfliptogqhss 	rqsutfmiptoguhss
psmjjnjlhgskqghq 	psmjrnklhgskughq
kftglongqguigrsu 	kftgtoogqguikrsu
jntflslsgghlhjot 	jntftsmsgghlljot
mntrhusttomfrsqu 	mntrpurttomfnsqu
snlhliurkqsusnsg 	snlhtitrkqsuonsg
